fsq_category_id,cluster_id
Samgyetang Restaurant,632
Sauna,633
Sausage Store,634
Savoyard Restaurant,635
Scandinavian Restaurant,636
Scenic Lookout,637
Schnitzel Restaurant,638
Science Museum,639
Scuba Diving Instructor,640
Shanxi Restaurant,641
Shawarma Restaurant,642
Singaporean Restaurant,643
Ski Chairlift,644
Skin Care Clinic,645
Smog Check Shop,646
Snack Place,647
Snow Sports,648
Soba Restaurant,649
Soccer Club,650
Social Club,651
Soup Spot,652
South Tyrolean Restaurant,653
Souvlaki Shop,654
Spa,655
Speakeasy,656
Sports Bar,657
Sports Club,658
Sports and Recreation,659
Sri Lankan Restaurant,660
Stable,661
Stationery Store,662
Storage Facility,663
Street Art,664
Strip Club,665
Structure,666
Sundanese Restaurant,667
Supplement Store,668
Sushi Restaurant,669
Swabian Restaurant,670
Swim School,671
Swiss Restaurant,672
Synagogue,673
Tabbakhi,674
Taco Restaurant,675
Tailor,676
Taiwanese Restaurant,677
Tanning Salon,678
Tantuni Restaurant,679
Tapas Restaurant,680
Tapiocaria,681
Tattoo Parlor,682
Taverna,683
Tea Room,684
Tempura Restaurant,685
Tennis Store,686
Tex-Mex Restaurant,687
Textiles Store,688
Thai Restaurant,689
Theme Restaurant,690
Ticket Seller,691
Tire Repair Shop,692
Tonkatsu Restaurant,693
Towing Service,694
Toy Store,695
Track Stadium,696
Train,697
Translation Service,698
Transport Hub,699
Travel Lounge,700
Trentino Restaurant,701
Truck Stop,702
Tsipouro Restaurant,703
Tunnel,704
Tutoring Service,705
Udon Restaurant,706
Umbrian Restaurant,707
Upholstery Service,708
Urgent Care Center,709
Urologist,710
Vape Store,711
Vegan and Vegetarian Restaurant,712
Vehicle Inspection Station,713
Veneto Restaurant,714
Veterans' Organization,715
Vietnamese Restaurant,716
Village,717
Vineyard,718
Volcano,719
Volleyball Court,720
Watch Store,721
Water Sports,722
Water Treatment Service,723
Website Designer,724
Wedding Hall,725
Weight Loss Center,726
Welding Service,727
Windmill,728
Winery,729
Wings Joint,730
Women's Health Clinic,731
Women's Store,732
"Writing, Copywriting and Technical Writing Service",733
Xinjiang Restaurant,734
Yoga Studio,735
Youth Organization,736
Yucatecan Restaurant,737
